Index,Token,Location,Speaker,Listened Language,Token,Tag1,Tag2,Tag
2723,Three,"Montréal, Québec",Martin Ward,English,Three,Eng,,Eng
2724,condos,"Montréal, Québec",Martin Ward,English,condos,Eng,,Eng
2725,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2726,One's,"Montréal, Québec",Martin Ward,English,One's,Eng,,Eng
2727,in,"Montréal, Québec",Martin Ward,English,in,Eng,,Eng
2728,Boca,"Montréal, Québec",Martin Ward,English,Boca,NamedEnt,,NamedEnt
2729,",","Montréal, Québec",Martin Ward,English,,,Punct,Punct
2730,one,"Montréal, Québec",Martin Ward,English,one,Eng,,Eng
2731,in,"Montréal, Québec",Martin Ward,English,in,Eng,,Eng
2732,Nice,"Montréal, Québec",Martin Ward,English,Nice,Eng,,Eng
2733,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2734,Works,"Montréal, Québec",Martin Ward,English,Works,Eng,,Eng
2735,hours,"Montréal, Québec",Martin Ward,English,hours,Eng,,Eng
2736,a,"Montréal, Québec",Martin Ward,English,a,Eng,,Eng
2737,week,"Montréal, Québec",Martin Ward,English,week,Eng,,Eng
2738,",","Montréal, Québec",Martin Ward,English,,,Punct,Punct
2739,which,"Montréal, Québec",Martin Ward,English,which,Eng,,Eng
2740,I,"Montréal, Québec",Martin Ward,English,I,Eng,,Eng
2741,gather,"Montréal, Québec",Martin Ward,English,gather,Eng,,Eng
2742,for,"Montréal, Québec",Martin Ward,English,for,Eng,,Eng
2743,Montreal,"Montréal, Québec",Martin Ward,English,Montreal,NamedEnt,,NamedEnt
2744,is,"Montréal, Québec",Martin Ward,English,is,Eng,,Eng
2745,a,"Montréal, Québec",Martin Ward,English,a,Eng,,Eng
2746,lot,"Montréal, Québec",Martin Ward,English,lot,Eng,,Eng
2747,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2748,No,"Montréal, Québec",Martin Ward,English,No,Eng,,Eng
2749,known,"Montréal, Québec",Martin Ward,English,known,Eng,,Eng
2750,mob,"Montréal, Québec",Martin Ward,English,mob,Eng,,Eng
2751,links,"Montréal, Québec",Martin Ward,English,links,Eng,,Eng
2752,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2753,Member,"Montréal, Québec",Martin Ward,English,Member,Eng,,Eng
2754,of,"Montréal, Québec",Martin Ward,English,of,Eng,,Eng
2755,Le,"Montréal, Québec",Martin Ward,French,Le,Fr,,Fr
2756,Mirage,"Montréal, Québec",Martin Ward,French,Mirage,Fr,,Fr
2757,Golf,"Montréal, Québec",Martin Ward,English,Golf,Fr,,Fr
2758,Club,"Montréal, Québec",Martin Ward,English,Club,Fr,,Fr
2759,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2760,Drives,"Montréal, Québec",Martin Ward,English,Drives,Eng,,Eng
2761,a,"Montréal, Québec",Martin Ward,English,a,Eng,,Eng
2762,Cherokee,"Montréal, Québec",Martin Ward,English,Cherokee,Eng,,Eng
2763,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2764,Anything,"Montréal, Québec",Martin Ward,English,Anything,Eng,,Eng
2765,else,"Montréal, Québec",Martin Ward,English,else,Eng,,Eng
2766,you,"Montréal, Québec",Martin Ward,English,you,Eng,,Eng
2767,want,"Montréal, Québec",Martin Ward,English,want,Eng,,Eng
2768,to,"Montréal, Québec",Martin Ward,English,to,Eng,,Eng
2769,know,"Montréal, Québec",Martin Ward,English,know,Eng,,Eng
2770,?,"Montréal, Québec",Martin Ward,English,?,Punct,,Punct
2771,Oui,"Montréal, Québec",David Bouchard,French,Oui,Fr,,Fr
2772,",","Montréal, Québec",David Bouchard,French,,,Punct,Punct
2773,il,"Montréal, Québec",David Bouchard,French,il,Fr,,Fr
2774,est,"Montréal, Québec",David Bouchard,French,est,Fr,,Fr
2775,-tu,"Montréal, Québec",David Bouchard,French,-tu,Fr,,Fr
2776,circoncis,"Montréal, Québec",David Bouchard,French,circoncis,Fr,,Fr
2777,?,"Montréal, Québec",David Bouchard,French,?,Punct,,Punct
2778,Oui,"Montréal, Québec",Martin Ward,English,Oui,Fr,,Fr
2779,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
2780,Martin,"Montréal, Québec",David Bouchard,French,Martin,NamedEnt,,NamedEnt
2781,",","Montréal, Québec",David Bouchard,None,,,Punct,Punct
2782,Jeff,"Montréal, Québec",David Bouchard,English,Jeff,NamedEnt,,NamedEnt
2783,;,"Montréal, Québec",David Bouchard,English,;,Punct,,Punct
2784,Jeff,"Montréal, Québec",David Bouchard,English,Jeff,NamedEnt,,NamedEnt
2785,",","Montréal, Québec",David Bouchard,English,,,Punct,Punct
2786,Martin,"Montréal, Québec",David Bouchard,English,Martin,NamedEnt,,NamedEnt
2787,Ward,"Montréal, Québec",David Bouchard,English,Ward,Fr,,Fr
2788,",","Montréal, Québec",David Bouchard,English,,,Punct,Punct
2789,mon,"Montréal, Québec",David Bouchard,French,mon,Fr,,Fr
2790,homologue,"Montréal, Québec",David Bouchard,French,homologue,Fr,,Fr
2791,de,"Montréal, Québec",David Bouchard,French,de,Fr,,Fr
2792,l',"Montréal, Québec",David Bouchard,French,l',Fr,,Fr
2793,OPP,"Montréal, Québec",David Bouchard,French,OPP,Fr,,Fr
2794,0,"Montréal, Québec",David Bouchard,French,0,Punct,,Punct
2795,Enchanté,"Montréal, Québec",Martin Ward,French,Enchanté,Fr,,Fr
2796,0,"Montréal, Québec",Martin Ward,French,0,Punct,,Punct
2797,Salut,"Montréal, Québec",Jeff le coroner,French,Salut,Fr,,Fr
2798,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2799,Je,"Montréal, Québec",David Bouchard,French,Je,Fr,,Fr
2800,sais,"Montréal, Québec",David Bouchard,French,sais,Fr,,Fr
2801,qu',"Montréal, Québec",David Bouchard,French,qu',Fr,,Fr
2802,à,"Montréal, Québec",David Bouchard,French,à,Punct,,Punct
2803,première,"Montréal, Québec",David Bouchard,French,première,Fr,,Fr
2804,vue,"Montréal, Québec",David Bouchard,French,vue,Fr,,Fr
2805,",","Montréal, Québec",David Bouchard,French,,,Punct,Punct
2806,il,"Montréal, Québec",David Bouchard,French,il,Fr,,Fr
2807,a,"Montréal, Québec",David Bouchard,French,a,Fr,,Fr
2808,l',"Montréal, Québec",David Bouchard,French,l',Fr,,Fr
2809,air,"Montréal, Québec",David Bouchard,French,air,Fr,,Fr
2810,d',"Montréal, Québec",David Bouchard,French,d',Fr,,Fr
2811,un,"Montréal, Québec",David Bouchard,French,un,Fr,,Fr
2812,comptable,"Montréal, Québec",David Bouchard,French,comptable,Fr,,Fr
2813,homosexuel,"Montréal, Québec",David Bouchard,French,homosexuel,Fr,,Fr
2814,",","Montréal, Québec",David Bouchard,French,,,Punct,Punct
2815,mais,"Montréal, Québec",David Bouchard,French,mais,Fr,,Fr
2816,fie,"Montréal, Québec",David Bouchard,French,fie,Fr,,Fr
2817,-toi,"Montréal, Québec",David Bouchard,French,-toi,Fr,,Fr
2818,pas,"Montréal, Québec",David Bouchard,French,pas,Fr,,Fr
2819,aux,"Montréal, Québec",David Bouchard,French,aux,Fr,,Fr
2820,apparences,"Montréal, Québec",David Bouchard,French,apparences,Fr,,Fr
2821,",","Montréal, Québec",David Bouchard,French,,,Punct,Punct
2822,il,"Montréal, Québec",David Bouchard,French,il,Fr,,Fr
2823,est,"Montréal, Québec",David Bouchard,French,est,Fr,,Fr
2824,pas,"Montréal, Québec",David Bouchard,French,pas,Fr,,Fr
2825,comptable,"Montréal, Québec",David Bouchard,French,comptable,Fr,,Fr
2826,0,"Montréal, Québec",David Bouchard,French,0,Punct,,Punct
2827,D'accord,"Montréal, Québec",Jeff le coroner,French,D'accord,Fr,,Fr
2828,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2829,-0,"Montréal, Québec",Martin Ward,French,-0,Punct,,Punct
2830,Pouvez,"Montréal, Québec",Martin Ward,French,Pouvez,Fr,,Fr
2831,-vous,"Montréal, Québec",Martin Ward,French,-vous,Fr,,Fr
2832,évaluer..,"Montréal, Québec",Martin Ward,French,évaluer..,Fr,,Fr
2833,0,"Montréal, Québec",Martin Ward,French,0,Punct,,Punct
2834,-0,"Montréal, Québec",Jeff le coroner,French,-0,Punct,,Punct
2835,À,"Montréal, Québec",Jeff le coroner,French,À,Punct,,Punct
2836,quelle,"Montréal, Québec",Jeff le coroner,French,quelle,NamedEnt,,NamedEnt
2837,hauteur,"Montréal, Québec",Jeff le coroner,French,hauteur,Fr,,Fr
2838,il,"Montréal, Québec",Jeff le coroner,French,il,Fr,,Fr
2839,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2840,tombé,"Montréal, Québec",Jeff le coroner,French,tombé,Fr,,Fr
2841,?,"Montréal, Québec",Jeff le coroner,French,?,Punct,,Punct
2842,Ça,"Montréal, Québec",Jeff le coroner,French,Ça,Fr,,Fr
2843,dépend,"Montréal, Québec",Jeff le coroner,French,dépend,Fr,,Fr
2844,de,"Montréal, Québec",Jeff le coroner,French,de,Fr,,Fr
2845,la,"Montréal, Québec",Jeff le coroner,French,la,Fr,,Fr
2846,vitesse,"Montréal, Québec",Jeff le coroner,French,vitesse,Fr,,Fr
2847,de,"Montréal, Québec",Jeff le coroner,French,de,Fr,,Fr
2848,l',"Montréal, Québec",Jeff le coroner,French,l',Fr,,Fr
2849,hélicoptère,"Montréal, Québec",Jeff le coroner,French,hélicoptère,Fr,,Fr
2850,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2851,Qui,"Montréal, Québec",David Bouchard,French,Qui,Fr,,Fr
2852,a,"Montréal, Québec",David Bouchard,French,a,Fr,,Fr
2853,parlé,"Montréal, Québec",David Bouchard,French,parlé,Fr,,Fr
2854,d',"Montréal, Québec",David Bouchard,French,d',Fr,,Fr
2855,hélicoptère,"Montréal, Québec",David Bouchard,French,hélicoptère,Fr,,Fr
2856,?,"Montréal, Québec",David Bouchard,French,?,Punct,,Punct
2857,Attends,"Montréal, Québec",Jeff le coroner,French,Attends,Fr,,Fr
2858,un,"Montréal, Québec",Jeff le coroner,French,un,Fr,,Fr
2859,peu,"Montréal, Québec",Jeff le coroner,French,peu,Fr,,Fr
2860,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2861,c',"Montréal, Québec",Jeff le coroner,French,c',Fr,,Fr
2862,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2863,moi,"Montréal, Québec",Jeff le coroner,French,moi,Fr,,Fr
2864,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2865,Je,"Montréal, Québec",Jeff le coroner,French,Je,Fr,,Fr
2866,viens,"Montréal, Québec",Jeff le coroner,French,viens,Fr,,Fr
2867,d',"Montréal, Québec",Jeff le coroner,French,d',Fr,,Fr
2868,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
2869,parler,"Montréal, Québec",Jeff le coroner,French,parler,Fr,,Fr
2870,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2871,Ça,"Montréal, Québec",Jeff le coroner,French,Ça,Fr,,Fr
2872,peut,"Montréal, Québec",Jeff le coroner,French,peut,Fr,,Fr
2873,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
2874,être,"Montréal, Québec",Jeff le coroner,French,être,Fr,,Fr
2875,un,"Montréal, Québec",Jeff le coroner,French,un,Fr,,Fr
2876,avion,"Montréal, Québec",Jeff le coroner,French,avion,Fr,,Fr
2877,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2878,c',"Montréal, Québec",Jeff le coroner,French,c',Fr,,Fr
2879,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2880,trop,"Montréal, Québec",Jeff le coroner,French,trop,Fr,,Fr
2881,vite,"Montréal, Québec",Jeff le coroner,French,vite,Fr,,Fr
2882,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2883,il,"Montréal, Québec",Jeff le coroner,French,il,Fr,,Fr
2884,aurait,"Montréal, Québec",Jeff le coroner,French,aurait,Fr,,Fr
2885,coupé,"Montréal, Québec",Jeff le coroner,French,coupé,Fr,,Fr
2886,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
2887,deux,"Montréal, Québec",Jeff le coroner,French,deux,Fr,,Fr
2888,sans,"Montréal, Québec",Jeff le coroner,French,sans,Fr,,Fr
2889,vous,"Montréal, Québec",Jeff le coroner,French,vous,Fr,,Fr
2890,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2891,Un,"Montréal, Québec",Jeff le coroner,French,Un,Fr,,Fr
2892,parachute,"Montréal, Québec",Jeff le coroner,French,parachute,Fr,,Fr
2893,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
2894,ouvert,"Montréal, Québec",Jeff le coroner,French,ouvert,Fr,,Fr
2895,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2896,il,"Montréal, Québec",Jeff le coroner,French,il,Fr,,Fr
2897,l',"Montréal, Québec",Jeff le coroner,French,l',Fr,,Fr
2898,aurait,"Montréal, Québec",Jeff le coroner,French,aurait,Fr,,Fr
2899,encore,"Montréal, Québec",Jeff le coroner,French,encore,Fr,,Fr
2900,sur,"Montréal, Québec",Jeff le coroner,French,sur,Fr,,Fr
2901,le,"Montréal, Québec",Jeff le coroner,French,le,Fr,,Fr
2902,dos,"Montréal, Québec",Jeff le coroner,French,dos,Fr,,Fr
2903,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2904,Personne,"Montréal, Québec",Jeff le coroner,French,Personne,NamedEnt,,NamedEnt
2905,se,"Montréal, Québec",Jeff le coroner,French,se,Fr,,Fr
2906,	PUN:cit	,"Montréal, Québec",Jeff le coroner,French, PUN:cit ,Fr,,Fr
2907,pitche,"Montréal, Québec",Jeff le coroner,French/English,pitche,Eng,,Eng
2908,	PUN:cit	,"Montréal, Québec",Jeff le coroner,French, PUN:cit ,Fr,,Fr
2909,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
2910,bas,"Montréal, Québec",Jeff le coroner,French,bas,Fr,,Fr
2911,d',"Montréal, Québec",Jeff le coroner,French,d',Fr,,Fr
2912,un,"Montréal, Québec",Jeff le coroner,French,un,Fr,,Fr
2913,deltaplane,"Montréal, Québec",Jeff le coroner,French,deltaplane,Fr,,Fr
2914,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2915,C',"Montréal, Québec",Jeff le coroner,French,C',Fr,,Fr
2916,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2917,trop,"Montréal, Québec",Jeff le coroner,French,trop,Fr,,Fr
2918,compliqué,"Montréal, Québec",Jeff le coroner,French,compliqué,Fr,,Fr
2919,avec,"Montréal, Québec",Jeff le coroner,French,avec,Fr,,Fr
2920,les,"Montréal, Québec",Jeff le coroner,French,les,Fr,,Fr
2921,straps,"Montréal, Québec",Jeff le coroner,French,straps,Fr,,Fr
2922,puis,"Montréal, Québec",Jeff le coroner,French,puis,Fr,,Fr
2923,tout,"Montréal, Québec",Jeff le coroner,French,tout,Fr,,Fr
2924,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2925,Le,"Montréal, Québec",Jeff le coroner,French,Le,Fr,,Fr
2926,Festival,"Montréal, Québec",Jeff le coroner,French,Festival,Fr,,Fr
2927,des,"Montréal, Québec",Jeff le coroner,French,des,Fr,,Fr
2928,montgolfières,"Montréal, Québec",Jeff le coroner,French,montgolfières,Fr,,Fr
2929,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2930,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
2931,commencé,"Montréal, Québec",Jeff le coroner,French,commencé,Fr,,Fr
2932,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2933,puis,"Montréal, Québec",Jeff le coroner,French,puis,Fr,,Fr
2934,si,"Montréal, Québec",Jeff le coroner,French,si,Fr,,Fr
2935,c',"Montréal, Québec",Jeff le coroner,French,c',Fr,,Fr
2936,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2937,une,"Montréal, Québec",Jeff le coroner,French,une,Fr,,Fr
2938,cigogne,"Montréal, Québec",Jeff le coroner,French,cigogne,Fr,,Fr
2939,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2940,elle,"Montréal, Québec",Jeff le coroner,French,elle,Fr,,Fr
2941,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2942,ans,"Montréal, Québec",Jeff le coroner,French,ans,Fr,,Fr
2943,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
2944,retard,"Montréal, Québec",Jeff le coroner,French,retard,Fr,,Fr
2945,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2946,D',"Montréal, Québec",Jeff le coroner,French,D',Fr,,Fr
2947,après,"Montréal, Québec",Jeff le coroner,French,après,Fr,,Fr
2948,moi,"Montréal, Québec",Jeff le coroner,French,moi,Fr,,Fr
2949,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2950,hélicoptère,"Montréal, Québec",Jeff le coroner,French,hélicoptère,Fr,,Fr
2951,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2952,Pour,"Montréal, Québec",Jeff le coroner,French,Pour,Fr,,Fr
2953,répondre,"Montréal, Québec",Jeff le coroner,French,répondre,Fr,,Fr
2954,à,"Montréal, Québec",Jeff le coroner,French,à,Punct,,Punct
2955,la,"Montréal, Québec",Jeff le coroner,French,la,Fr,,Fr
2956,question,"Montréal, Québec",Jeff le coroner,French,question,Fr,,Fr
2957,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2958,au,"Montréal, Québec",Jeff le coroner,French,au,Fr,,Fr
2959,plus,"Montréal, Québec",Jeff le coroner,French,plus,Fr,,Fr
2960,haut,"Montréal, Québec",Jeff le coroner,French,haut,Fr,,Fr
2961,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2962,mètres,"Montréal, Québec",Jeff le coroner,French,mètres,Fr,,Fr
2963,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2964,Ça,"Montréal, Québec",Jeff le coroner,French,Ça,Fr,,Fr
2965,fait,"Montréal, Québec",Jeff le coroner,French,fait,Fr,,Fr
2966,pieds,"Montréal, Québec",Jeff le coroner,French,pieds,Fr,,Fr
2967,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2968,pouces,"Montréal, Québec",Jeff le coroner,French,pouces,Fr,,Fr
2969,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2970,huitièmes,"Montréal, Québec",Jeff le coroner,French,huitièmes,Fr,,Fr
2971,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2972,C',"Montréal, Québec",Jeff le coroner,French,C',Fr,,Fr
2973,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2974,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
2975,exact,"Montréal, Québec",Jeff le coroner,French,exact,Fr,,Fr
2976,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2977,Un,"Montréal, Québec",Jeff le coroner,French,Un,Fr,,Fr
2978,corps,"Montréal, Québec",Jeff le coroner,French,corps,Fr,,Fr
2979,inerte,"Montréal, Québec",Jeff le coroner,French,inerte,Fr,,Fr
2980,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
2981,chute,"Montréal, Québec",Jeff le coroner,French,chute,Fr,,Fr
2982,libre,"Montréal, Québec",Jeff le coroner,French,libre,Fr,,Fr
2983,fait,"Montréal, Québec",Jeff le coroner,French,fait,Fr,,Fr
2984,mètres,"Montréal, Québec",Jeff le coroner,French,mètres,Fr,,Fr
2985,à,"Montréal, Québec",Jeff le coroner,French,à,Punct,,Punct
2986,la,"Montréal, Québec",Jeff le coroner,French,la,Fr,,Fr
2987,seconde,"Montréal, Québec",Jeff le coroner,French,seconde,Fr,,Fr
2988,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
2989,Selon,"Montréal, Québec",Jeff le coroner,French,Selon,Fr,,Fr
2990,les,"Montréal, Québec",Jeff le coroner,French,les,Fr,,Fr
2991,dégâts,"Montréal, Québec",Jeff le coroner,French,dégâts,Fr,,Fr
2992,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2993,ça,"Montréal, Québec",Jeff le coroner,French,ça,Fr,,Fr
2994,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
2995,c',"Montréal, Québec",Jeff le coroner,French,c',Fr,,Fr
2996,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
2997,minimum,"Montréal, Québec",Jeff le coroner,French,minimum,Fr,,Fr
2998,mètres,"Montréal, Québec",Jeff le coroner,French,mètres,Fr,,Fr
2999,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3000,Maximum,"Montréal, Québec",Jeff le coroner,French,Maximum,Fr,,Fr
3001,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3002,J',"Montréal, Québec",Jeff le coroner,French,J',Fr,,Fr
3003,ai,"Montréal, Québec",Jeff le coroner,French,ai,Fr,,Fr
3004,le,"Montréal, Québec",Jeff le coroner,French,le,Fr,,Fr
3005,feeling,"Montréal, Québec",Jeff le coroner,English,feeling,Eng,,Eng
3006,que,"Montréal, Québec",Jeff le coroner,French,que,Fr,,Fr
3007,ça,"Montréal, Québec",Jeff le coroner,French,ça,Fr,,Fr
3008,peut,"Montréal, Québec",Jeff le coroner,French,peut,Fr,,Fr
3009,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
3010,être,"Montréal, Québec",Jeff le coroner,French,être,Fr,,Fr
3011,mètres,"Montréal, Québec",Jeff le coroner,French,mètres,Fr,,Fr
3012,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3013,Sinon,"Montréal, Québec",Jeff le coroner,French,Sinon,Fr,,Fr
3014,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3015,sa,"Montréal, Québec",Jeff le coroner,French,sa,Fr,,Fr
3016,chute,"Montréal, Québec",Jeff le coroner,French,chute,Fr,,Fr
3017,aurait,"Montréal, Québec",Jeff le coroner,French,aurait,Fr,,Fr
3018,été,"Montréal, Québec",Jeff le coroner,French,été,Fr,,Fr
3019,d',"Montréal, Québec",Jeff le coroner,French,d',Fr,,Fr
3020,exactement,"Montréal, Québec",Jeff le coroner,French,exactement,Fr,,Fr
3021,secondes,"Montréal, Québec",Jeff le coroner,French,secondes,Fr,,Fr
3022,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3023,C',"Montréal, Québec",Jeff le coroner,French,C',Fr,,Fr
3024,est,"Montréal, Québec",Jeff le coroner,French,est,Fr,,Fr
3025,un,"Montréal, Québec",Jeff le coroner,French,un,Fr,,Fr
3026,chiffre,"Montréal, Québec",Jeff le coroner,French,chiffre,Fr,,Fr
3027,trop,"Montréal, Québec",Jeff le coroner,French,trop,Fr,,Fr
3028,rond,"Montréal, Québec",Jeff le coroner,French,rond,Fr,,Fr
3029,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3030,je,"Montréal, Québec",Jeff le coroner,French,je,Fr,,Fr
3031,le,"Montréal, Québec",Jeff le coroner,French,le,Fr,,Fr
3032,sens,"Montréal, Québec",Jeff le coroner,French,sens,Fr,,Fr
3033,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
3034,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3035,ça,"Montréal, Québec",Jeff le coroner,French,ça,Fr,,Fr
3036,se,"Montréal, Québec",Jeff le coroner,French,se,Fr,,Fr
3037,peut,"Montréal, Québec",Jeff le coroner,French,peut,Fr,,Fr
3038,pas,"Montréal, Québec",Jeff le coroner,French,pas,Fr,,Fr
3039,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3040,Il,"Montréal, Québec",Jeff le coroner,French,Il,Fr,,Fr
3041,y,"Montréal, Québec",Jeff le coroner,French,y,Fr,,Fr
3042,a,"Montréal, Québec",Jeff le coroner,French,a,Fr,,Fr
3043,rien,"Montréal, Québec",Jeff le coroner,French,rien,Fr,,Fr
3044,de,"Montréal, Québec",Jeff le coroner,French,de,Fr,,Fr
3045,si,"Montréal, Québec",Jeff le coroner,French,si,Fr,,Fr
3046,précis,"Montréal, Québec",Jeff le coroner,French,précis,Fr,,Fr
3047,dans,"Montréal, Québec",Jeff le coroner,French,dans,Fr,,Fr
3048,la,"Montréal, Québec",Jeff le coroner,French,la,Fr,,Fr
3049,vie,"Montréal, Québec",Jeff le coroner,French,vie,Fr,,Fr
3050,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3051,D',"Montréal, Québec",Jeff le coroner,French,D',Fr,,Fr
3052,après,"Montréal, Québec",Jeff le coroner,French,après,Fr,,Fr
3053,moi,"Montréal, Québec",Jeff le coroner,French,moi,Fr,,Fr
3054,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3055,mètres,"Montréal, Québec",Jeff le coroner,French,mètres,Fr,,Fr
3056,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3057,-0,"Montréal, Québec",Martin Ward,English,-0,Punct,,Punct
3058,What,"Montréal, Québec",Martin Ward,English,What,Eng,,Eng
3059,about,"Montréal, Québec",Martin Ward,English,about,Eng,,Eng
3060,this,"Montréal, Québec",Martin Ward,English,this,Eng,,Eng
3061,?,"Montréal, Québec",Martin Ward,English,?,Punct,,Punct
3062,Ça,"Montréal, Québec",Jeff le coroner,French,Ça,Fr,,Fr
3063,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3064,c',"Montréal, Québec",Jeff le coroner,French,c',Fr,,Fr
3065,est..,"Montréal, Québec",Jeff le coroner,French,est..,Fr,,Fr
3066,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3067,comment,"Montréal, Québec",Jeff le coroner,French,comment,Fr,,Fr
3068,tu,"Montréal, Québec",Jeff le coroner,French,tu,Fr,,Fr
3069,dis,"Montréal, Québec",Jeff le coroner,French,dis,Fr,,Fr
3070,ça,"Montréal, Québec",Jeff le coroner,French,ça,Fr,,Fr
3071,tatou,"Montréal, Québec",Jeff le coroner,French,tatou,Fr,,Fr
3072,en,"Montréal, Québec",Jeff le coroner,French,en,Fr,,Fr
3073,anglais,"Montréal, Québec",Jeff le coroner,French,anglais,Fr,,Fr
3074,?,"Montréal, Québec",Jeff le coroner,French,?,Punct,,Punct
3075,Tattoo,"Montréal, Québec",Martin Ward,English,Tattoo,Fr,,Fr
3076,0,"Montréal, Québec",Martin Ward,English,0,Punct,,Punct
3077,Tattoo,"Montréal, Québec",Jeff le coroner,English,Tattoo,Fr,,Fr
3078,?,"Montréal, Québec",Jeff le coroner,English,?,Punct,,Punct
3079,Un,"Montréal, Québec",Jeff le coroner,French,Un,Fr,,Fr
3080,tattoo,"Montréal, Québec",Jeff le coroner,English,tattoo,Fr,,Fr
3081,0,"Montréal, Québec",Jeff le coroner,French,0,Punct,,Punct
3082,Spécial,"Montréal, Québec",Jeff le coroner,French,Spécial,Fr,,Fr
3083,",","Montréal, Québec",Jeff le coroner,French,,,Punct,Punct
3084,hein,"Montréal, Québec",Jeff le coroner,French,hein,Fr,,Fr
3085,?,"Montréal, Québec",Jeff le coroner,French,?,Punct,,Punct
3086,Parce,"Montréal, Québec",Jeff le coroner,French,Parce,Fr,,Fr
3087,qu',"Montréal, Québec",Jeff le coroner,French,qu',Fr,,Fr
3088,il,"Montréal, Québec",Jeff le coroner,French,il,Fr,,Fr
