Token,Tag
close,Eng
to,Eng
the,Eng
end,Eng
",Punct
mamá,Spn
nos,Spn
dijo,Spn
you,Eng
girls,Eng
are,Eng
wrong,Eng
.,Punct
You,Eng
think,Eng
Daddy,Eng
was,Eng
sexy,Spn
and,Eng
romantic,Eng
and,Eng
funny,Eng
all,Eng
the,Eng
time,Eng
?,Punct
No,Spn
.,Punct
Daddy,Eng
es,Spn
un,Spn
melancólico,Spn
.,Punct
It’s,Eng
not,Eng
easy,Eng
living,Eng
with,Eng
him,Eng
",Punct
it’s,Eng
never,Eng
been,Eng
easy,Eng
",Punct
you,Eng
know,Eng
.,Punct
Daddy,Eng
is,Eng
never,Eng
satisfied,Eng
with,Eng
himself,Eng
",Punct
and,Eng
he,Eng
has,Eng
terriblemoods,Spn
",Punct
and,Eng
self-doubt,Eng
and,Eng
.,Punct
.,Punct
0.38,Spn
Pero,Spn
eso,Spn
fue,Spn
más,Spn
bien,Spn
hacia,Spn
el,Spn
final,Spn
final,Spn
.,Punct
Cuando,Spn
nos,Spn
dijo,Spn
eso,Spn
.,Punct
And,Eng
even,Eng
a,Spn
year,Eng
or,Eng
so,Eng
before,Eng
he,Eng
died,Eng
a,Spn
veces,Spn
",Punct
en,Spn
una,Spn
comida,Spn
familiar,Eng
or,Eng
just,Eng
sitting,Eng
around,Eng
their,Eng
living,Eng
room,Eng
",Punct
someone,Eng
playing,Eng
the,Eng
piano,Spn
",Punct
alguien,Spn
cantando,Spn
en,Spn
mi,Spn
tan,Spn
",Punct
muy,Spn
musical,Eng
familia,Spn
",Punct
Daddy,Eng
era,Spn
capaz,Spn
de,Spn
abstraerse,Spn
de,Spn
la,Spn
escena,Spn
circundante,Spn
and,Eng
a,Spn
radiant,Eng
light,Eng
would,Eng
come,Eng
over,Eng
his,Eng
face,Eng
y,Spn
miraba,Spn
a,Spn
mamá,Spn
y,Spn
a,Spn
veces,Spn
hasta,Spn
murmuraba,Spn
",Punct
girls,Eng
",Punct
isn’tMother,Eng
beautiful,Eng
?,Punct
Y,Spn
bueno,Spn
.,Punct
The,Eng
moral,Spn
of,Eng
the,Eng
story,Eng
is,Eng
que,Spn
una,Spn
vez,Spn
in,Eng
the,Eng
dining,Eng
room,Eng
de,Spn
la,Spn
pensión,Spn
donde,Spn
nos,Spn
hospedábamos,Spn
en,Spn
San,NamedEnt
Sebastián,NamedEnt
",Punct
(,Punct
Euskadi,NamedEnt
",Punct
Spain,NamedEnt
),Punct
yo,Spn
",Punct
mis,Spn
padres,Spn
",Punct
mi,Spn
hermana,Spn
Laura,NamedEnt
y,Spn
mi,Spn
prima,Spn
Lee,NamedEnt
",Punct
me,Spn
acuerdo,Spn
que,Spn
I,Eng
was,Eng
eating,Eng
espinacas,Spn
a,Spn
la,Spn
crema,Spn
y,Spn
una,Spn
milanesa,Spn
de,Spn
ternera,Spn
",Punct
my,Eng
favorite,Eng
.,Punct
Y,Spn
mis,Spn
padres,Spn
were,Eng
asking,Eng
me,Spn
(,Punct
again,Eng
),Punct
que,Spn
por,Spn
qué,Spn
siempre,Spn
tenía,Spn
que,Spn
decir,Spn
que,Spn
nuncame,Spn
iba,Spn
a,Spn
casar,Spn
?,Punct
Que,Spn
after,Eng
all,Eng
they’d,Eng
taught,Eng
us,Eng
",Punct
que,Spn
por,Spn
qué,Spn
y,Spn
cómo,Spn
yo,Spn
era,Spn
capaz,Spn
de,Spn
manifestar,Spn
tanto,Spn
desprecio,Spn
for,Eng
that,Eng
institution,Eng
which,Eng
they,Eng
so,Eng
successfully,Eng
embodied,Eng
?,Punct
Y,Spn
.,Punct
.,Punct
.,Punct
(,Punct
pausa,Spn
porteña,Spn
),Punct
nada,Spn
más,Spn
les,Spn
pude,Spn
decir,Spn
well,Eng
",Punct
that’s,Eng
just,Eng
it,Eng
!,Punct
Your,Eng
marriage,Eng
is,Eng
so,Eng
good,Eng
",Punct
no,Spn
sé,Spn
si,Spn
“,Punct
good,Eng
”,Punct
es,Spn
la,Spn
right,Eng
word,Eng
",Punct
quiero,Spn
decir,Spn
:,Punct
so,Eng
larger-than-life,Eng
que,Spn
tengo,Spn
la,Spn
sensación,Spn
de,Spn
que,Spn
anythingI,Eng
would,Eng
have,Eng
",Punct
with,Eng
no,Spn
matter,Eng
whom,Eng
",Punct
pues,Spn
como,Spn
que,Spn
it,Eng
just,Eng
could,Eng
not,Eng
measure,Eng
up,Eng
.,Punct
Y,Spn
ellos,Spn
",Punct
shaking,Eng
their,Eng
heads,Eng
",Punct
desesperados,Spn
de,Spn
que,Spn
su,Spn
success,Eng
augurara,Spn
",Punct
para,Spn
mí,Spn
",Punct
mi,Spn
fracaso,Spn
",Punct
por,Spn
poco,Spn
lloraban,Spn
de,Spn
rabia,Spn
y,Spn
de,Spn
(,Punct
let’s,Spn
face,Eng
it,Eng
),Punct
a,Spn
lo,Spn
mejor,Spn
un,Spn
poquitín,Spn
de,Spn
vergüenza,Spn
that,Eng
their,Eng
muy,Spn
marriageable,Eng
oldest,Eng
daughter,Eng
steadfastly,Eng
refused,Eng
to,Eng
enter,Eng
into,Eng
holy,Eng
(,Punct
or,Eng
otherwise,Eng
),Punct
matrimony,Spn
.,Punct
Y,Spn
así,Spn
fue,Spn
como,Spn
paradójicamente,Spn
llegué,Spn
al,Spn
convencimiento,Spn
de,Spn
que,Spn
marriage,Eng
inevitably,Eng
amortigua,Spn
el,Spn
deseo,Spn
",Punct
lima,Spn
el,Spn
misterio,Spn
y,Spn
posterga,Spn
all,Eng
those,Eng
good,Eng
things,Eng
siempre,Spn
so,Eng
far,Eng
out,Eng
of,Eng
reach,Eng
we’re,Spn
always,Eng
looking,Eng
for,Eng
.,Punct
Porque,Spn
eso(o,Spn
así,Spn
me,Spn
parecía,Spn
),Punct
",Punct
habían,Spn
tenido,Spn
mis,Spn
padres,Spn
Joe,NamedEnt
and,Eng
June,NamedEnt
in,Eng
their,Eng
montaña,Spn
rusa,Spn
of,Eng
a,Spn
matrimonio.VI,Spn
Memory/Lame,Eng
Crónica,Spn
22,Spn
agosto,Spn
2001,Spn
Los,Spn
Angeles,Spn
Para,NamedEnt
JHS,Spn
",Punct
in,Eng
memoriam,Eng
Daddy,Eng
",Punct
were,Eng
you,Eng
really,Eng
thatmean,Eng
?,Punct
Mi,Spn
hermanita,Spn
Laura—y,NamedEnt
mi,Spn
abuela,Spn
Eunice,NamedEnt
Chávez,NamedEnt
también,Spn
for,Eng
that,Eng
matter,Eng
",Punct
whom,Eng
you,Eng
adored,Spn
",Punct
who,Eng
loved,Eng
you—te,Spn
recuerdanbienmean,Spn
.,Punct
Bien,Spn
sarcastic,Eng
.,Punct
Con,Spn
todo,Spn
el,Spn
mundo,Spn
.,Punct
To,Eng
mom,Eng
.,Punct
Laura,NamedEnt
se,Spn
acuerda,Spn
de,Spn
un,Spn
fight,Eng
daddy,Eng
and,Eng
mom,Eng
got,Eng
into,Eng
over,Eng
politics,Eng
(,Punct
maybe,Eng
the,Eng
death,Eng
penalty,Eng
?,Punct
No,Spn
",Punct
era,Spn
over,Eng
legalizing,Eng
la,Spn
mota,Spn
!,Punct
Yeah,NamedEnt
",Punct
that,Eng
was,Eng
it,Eng
),Punct
",Punct
donde,Spn
no,Spn
se,Spn
hablaron,Spn
por,Spn
días,Spn
.,Punct
Or,Eng
",Punct
Mom,Eng
went,Eng
to,Eng
a,Spn
motel,Eng
for,Eng
two,Eng
days,Eng
.,Punct
Pero,Spn
quizás,Spn
este,Spn
es,Spn
el,Spn
mismo,Spn
(,Punct
sub)urban,Eng
myth,Eng
de,Spn
cuando,Spn
ella,Spn
nos,Spn
llevó,Spn
a,Spn
un,Spn
hotel,Spn
en,Spn
la,Spn
playa,Spn
en,Spn
Santa,NamedEnt
Mónica,NamedEnt
and,Eng
all,Eng
we,Eng
ate,Eng
for,Eng
a,Spn
while,Eng
was,Eng
hot,Eng
dogs,Eng
?,Punct
(,Punct
Les,Spn
dicen,Spn
“,Punct
panchos,Spn
”,Punct
en,Spn
Buenos,NamedEnt
Aires,NamedEnt
",Punct
can,Eng
you,Eng
believe,Eng
that,Eng
?,Punct
),Punct
Pero,Spn
no,Spn
.,Punct
I’m,Spn
surethat,Eng
fight,Eng
was,Eng
about,Eng
celos,Spn
",Punct
y,Spn
que,Spn
se,Spn
estaban,Spn
chasing,Eng
around,Eng
the,Eng
bed,Eng
in,Eng
our,Eng
old,Eng
house,Eng
",Punct
in,Eng
the,Eng
Valley,Eng
",Punct
on,Eng
Rubio,NamedEnt
Ave,Spn
.,Punct
Or,Eng
maybe,Eng
it,Eng
was,Eng
the,Eng
one,Eng
before,Eng
that,Eng
",Punct
en,Spn
Van40,Spn
Nuys,Spn
?,Punct
Pero,Spn
anyway,Eng
",Punct
they,Eng
were,Eng
swinging,Eng
wire,Eng
hangers,Eng
pathetically,Eng
at,Eng
each,Eng
other,Eng
",Punct
y,Spn
mami,Spn
took,Eng
me,Spn
and,Eng
my,Eng
other,Eng
sister,Eng
",Punct
Sarita,NamedEnt
",Punct
a,Spn
un,Spn
hotel,Spn
near,Eng
Pacific,NamedEnt
Ocean,NamedEnt
Park,NamedEnt
.,Punct
Laura,NamedEnt
ni,Spn
siquiera,Spn
había,Spn
nacido,Spn
.,Punct
Yeah,NamedEnt
",Punct
that’s,Eng
it,Eng
.,Punct
I’m,Spn
sure,Eng
.,Punct
Or,Eng
am,Eng
I,Eng
?,Punct
Daddy,Eng
",Punct
try,Eng
as,Eng
I,Eng
might,Eng
",Punct
no,Spn
te,Spn
puedo,Spn
conjurar,Spn
mean,Eng
.,Punct
Oh,Eng
",Punct
I,Eng
know,Eng
you,Eng
were,Eng
ruthless,Eng
con,Spn
tus,Spn
enemigos,Spn
.,Punct
And,Eng
you,Eng
had,Eng
tonsof,Eng
them,Eng
.,Punct
Que,Spn
anti-semitas,Spn
coming,Eng
out,Eng
of,Eng
the,Eng
woodwork,Eng
.,Punct
Que,Spn
people,Eng
who,Eng
didn’t,Eng
vote,Eng
your,Eng
way,Eng
en,Spn
los,Spn
comités,Spn
en,Spn
UCLA,NamedEnt
.,Punct
Esa,Spn
vez,Spn
que,Spn
no,Spn
te,Spn
quisieron,Spn
dar,Spn
",Punct
al,Spn
principio,Spn
",Punct
un,Spn
ascenso,Spn
to,Eng
Super,Eng
Professor,Eng
Step,NamedEnt
8,Punct
overscale,Eng
or,Eng
whatever,Eng
they,Eng
do,Eng
in,Eng
the,Eng
UC,NamedEnt
system,Eng
",Punct
and,Eng
you,Eng
got,Eng
into,Eng
a,Spn
rage,Eng
.,Punct
Bigtime,Eng
.,Punct
Enemigos,Spn
ideológicos,Spn
.,Punct
Intelectuales,Spn
.,Punct
Académicos,Spn
.,Punct
In,Eng
your,Eng
journal,Eng
articles,Eng
",Punct
in,Eng
obscure,Spn
footnote,Eng
vendettas,Spn
",Punct
and,Eng
in,Eng
Letters,Eng
to,Eng
the,Eng
Editor,Eng
columns,Spn
you,Eng
waged,Eng
your,Eng
battles,Eng
",Punct
esas,Spn
épicas,Spn
batallas,Spn
letradas,Spn
que,Spn
te,Spn
carcomieron,Spn
",Punct
finalmente,Spn
",Punct
por,Spn
dentro,Spn
.,Punct
Esa,Spn
rabia,Spn
que,Spn
te,Spn
tragabas,Spn
por,Spn
lo,Spn
general,Eng
",Punct
only,Eng
every,Eng
so,Eng
often,Eng
letting,Eng
just,Eng
a,Spn
flicker,Eng
of,Eng
it,Eng
cloud,Eng
your,Eng
Robert,NamedEnt
Goulet,NamedEnt
",Punct
Harry,NamedEnt
Belafonte,NamedEnt
",Punct
Lucho,NamedEnt
Gatica,NamedEnt
surface,Eng
",Punct
ignite,Eng
and,Eng
explode,Spn
",Punct
en,Spn
un,Spn
perfectly,Eng
timed,Eng
and,Eng
hurled,Spn
sarcastic,Eng
put,Eng
down,Eng
.,Punct
To,Eng
mami,Spn
.,Punct
And,Eng
to,Eng
us,Eng
?,Punct
Así,Spn
dicen,Spn
.,Punct
Even,Eng
to,Eng
me,Spn
?,Punct
Yote,NamedEnt
recuerdo,Spn
como,Spn
un,Spn
expansive,Eng
huraño,Spn
.,Punct
Ya,Spn
sé,Spn
",Punct
Daddy,Eng
.,Punct
That’s,Eng
an,Eng
oxymoron,Spn
.,Punct
And,Eng
so,Eng
you,Eng
were,Eng
.,Punct
Un,Spn
cool-warm,Eng
Libra,NamedEnt
.,Punct
Un,Spn
dulce,Spn
melancólico,Spn
en,Spn
tu,Spn
study,Eng
en,Spn
casa,Spn
",Punct
shaking,Eng
your,Eng
head,Eng
back,Eng
and,Eng
forth,Eng
en,Spn
ese,Spn
gesto,Spn
milenario,Spn
",Punct
casi,Spn
rabínico,Spn
",Punct
about,Eng
some,Eng
historical,Eng
injustice,Spn
",Punct
alguna,Spn
tragedia,Spn
you,Eng
felt,Eng
as,Eng
keenly,Eng
on,Eng
your,Eng
own,Eng
skin,Eng
cual,Spn
si,Spn
te,Spn
la,Spn
hubieran,Spn
perpetrado—tatuado—a,Spn
ti,Spn
.,Punct
Daddy,Eng
",Punct
te,Spn
reconozco,Spn
en,Spn
los,Spn
versos,Spn
de,Spn
“,Punct
Notes,Eng
Toward,Eng
a,Spn
Supreme,Spn
Fiction,NamedEnt
",Punct
”,Punct
de,Spn
Wallace,NamedEnt
Stevens,NamedEnt
",Punct
que,Spn
recité,Spn
full-,Eng
and,Eng
lowvoiced,Eng
",Punct
dry-eyed,Eng
",Punct
en,Spn
tu,Spn
yahrzeit,Spn
.,Punct
Just,Eng
days,Eng
after,Eng
my,Eng
birthday,Eng
.,Punct
El,Spn
25,Spn
de,Spn
marzo,Spn
",Punct
1990,Spn
fue,Spn
.,Punct
One,Eng
year,Eng
and,Eng
two,Eng
days,Eng
after.MEMORY/,Eng
He,Eng
had,Eng
to,Eng
choose.But,Eng
it,Eng
was,Eng
not,Eng
a,Spn
choice,Eng
Between,Eng
excluding,Eng
things.It,Eng
was,Eng
not,Eng
a,Spn
choice,Eng
"Between,Eng
of.He,Spn
chose,Eng
to,Eng
include,Eng
the,Eng
things,Eng
That,Eng
in,Eng
each,Eng
other,Eng
are,Eng
"included,Eng
whole,Eng
",Punct
The,Eng
"complicate,Eng
amassing,Eng
harmony,Spn
.,Punct
Ese,Spn
día,Spn
te,Spn
sentí—I,Spn
conjured,Eng
you—en,Spn
esos,Spn
reconfortantes,Spn
",Punct
sencillos,Spn
",Punct
casi,Spn
parcos,Spn
versos,Spn
.,Punct
Y,Spn
dije,Spn
",Punct
entonces,Spn
",Punct
“,Punct
Thus,NamedEnt
",Punct
my,Eng
father,Eng
was,Eng
able,Eng
to,Eng
be,Eng
",Punct
harmoniously,Eng
",Punct
a,Spn
boy,Eng
from,Eng
the,Eng
Bronx,NamedEnt
and,Eng
a,Spn
renowned,Eng
Golden,NamedEnt
Age,Eng
scholar,Eng
",Punct
someone,Eng
impassioned,Eng
by,Eng
Sephardic,NamedEnt
ballads,Eng
",Punct
Cervantes,NamedEnt
and,Eng
Lope,NamedEnt
de,Spn
Vega,NamedEnt
",Punct
but,Eng
also,Eng
by,Eng
Peter,NamedEnt
Sellars,NamedEnt
or,Eng
The,Eng
Beatles,Eng
.,Punct
”,Punct
Concluí,Spn
citando—y,Spn
diciendo,Spn
querer,Spn
emular—otra,Spn
de,Spn
tus,Spn
frases,Spn
favoritas,Spn
:,Punct
“,Punct
[,Punct
La,Spn
vida,Spn
],Punct
es,Spn
el,Spn
arte,Spn
de,Spn
no,Spn
renunciar,Spn
a,Spn
nada,Spn
.,Punct
”,Punct
Don’t,Spn
remember,Eng
now,Eng
who,Eng
said,Eng
that,Eng
.,Punct
Lope,NamedEnt
?,Punct
Cervantes,NamedEnt
?,Punct
Think,Eng
so,Eng
.,Punct
Pero,Spn
part,Eng
of,Eng
me,Spn
never,Eng
wanted,Eng
to,Eng
sip,Eng
from,Eng
the,Eng
same,Eng
cup,Eng
que,Spn
te,Spn
nutrió,Eng
a,Spn
ti,Spn
.,Punct
I,Eng
didn’t,Eng
want—yet,Eng
I,Eng
was,Eng
fatally,Eng
drawn,Eng
to,Eng
—,Punct
los,Spn
clásicos,Spn
.,Punct
Hell,Eng
",Punct
si,Spn
no,Spn
hubiera,Spn
sido,Spn
por,Spn
Pizarnik,NamedEnt
",Punct
habría,Spn
hecho,Spn
",Punct
casi,Spn
seguro,Spn
",Punct
una,Spn
tesis,Spn
sobre,Spn
Cortázar,NamedEnt
.,Punct
O,Spn
Quevedito,Spn
.,Punct
Remember,Eng
",Punct
Daddy,Eng
?,Punct
I,Eng
remember,Eng
",Punct
now,Eng
",Punct
clearly,Eng
",Punct
you,Eng
and,Eng
I,Eng
",Punct
escribiendo,Spn
late,Eng
late,Eng
into,Eng
the,Eng
night,Eng
",Punct
juntos,Spn
",Punct
en,Spn
tu,Spn
casa,Spn
en,Spn
Santa,NamedEnt
Cruz,NamedEnt
",Punct
inspirados,Spn
encendidos,Spn
",Punct
hours,Eng
and,Eng
hours,Eng
thinking,Eng
about,Eng
that,Eng
one,Eng
line,Eng
:,Punct
“,Punct
polvo,Spn
será,Spn
",Punct
mas,Spn
polvo,Spn
enamorado,Spn
.,Punct
”,Punct
What,Eng
bullshit,Eng
",Punct
Dad,NamedEnt
.,Punct
How,Eng
could,Eng
I,Eng
have,Eng
written,Eng
",Punct
how,Eng
could,Eng
I,Eng
have,Eng
said,Eng
that,Eng
day,Eng
",Punct
tan,Spn
smugly,Eng
",Punct
tan,Spn
literarily,Eng
",Punct
que,Spn
you,Eng
were,Eng
able,Eng
to,Eng
be,Eng
both—all—harmoniously,Eng
?,Punct
Cuando,Spn
OB-vio,Spn
(,Punct
pronunciación,Spn
porteñísima,Spn
),Punct
the,Eng
trying,Eng
",Punct
los,Spn
choices,Eng
gnawed,Eng
at,Eng
your,Eng
insides,Eng
all,Eng
along,Eng
?,Punct
Desde,Spn
tus,Spn
26,Spn
años,Spn
",Punct
desde,Spn
la,Spn
úlcera,Spn
que,Spn
te,Spn
pegaste,Spn
cuando42,Spn
tu,Spn
mamá,Spn
",Punct
La,Spn
Monte,NamedEnt
(,Punct
aka,Spn
Grandma,NamedEnt
Edna,NamedEnt
Maslow,NamedEnt
),Punct
quiso,Spn
prevenir,Spn
que,Spn
te,Spn
casaras,Spn
con,Spn
mami,Spn
y,Spn
te,Spn
mudaras,Spn
a,Spn
Califas,Spn
from,Eng
New,Eng
York,Eng
and,Eng
some,Eng
doctor,Spn
or,Eng
shrink,Eng
",Punct
qué,Spn
sé,Spn
sho,Eng
",Punct
te,Spn
aconsejó,Spn
",Punct
well,Eng
sonny,Spn
boy,Eng
",Punct
it’s,Eng
your,Eng
mother,Eng
or,Eng
your,Eng
wife,Eng
:,Punct
you,Eng
pick,Eng
.,Punct
And,Eng
you,Eng
did,Eng
",Punct
you,Eng
did,Eng
.,Punct
But,Eng
at,Eng
what,Eng
price,Eng
?,Punct
Daddy,Eng
.,Punct
Just,Eng
like,Eng
el,Spn
Caballero,NamedEnt
de,Spn
la,Spn
Triste,Spn
Figura,NamedEnt
",Punct
the,Eng
study,Eng
of,Eng
whom,Eng
made,Eng
you,Eng
famous,Eng
",Punct
eras,Spn
solitario,Spn
even,Eng
en,Spn
toda,Spn
tu,Spn
solidaridad,Spn
humana,NamedEnt
.,Punct
En,Spn
realidad,Spn
",Punct
un,Spn
fantasioso,Spn
.,Punct
Incluso,Spn
algo,Spn
mesiánico,Spn
.,Punct
Try,Eng
as,Eng
I,Eng
might,Eng
",Punct
no,Spn
puedo,Spn
recordarte,Spn
mean,Eng
.,Punct
I,Eng
try,Eng
to,Eng
conjure,Spn
you,Eng
stern,Eng
",Punct
and,Eng
instead,Eng
I,Eng
hear,Eng
you,Eng
snort,Eng
with,Eng
laughter,Eng
sobre,Spn
los,Spn
ridículos,Spn
",Punct
amateurish,Eng
“,Punct
professional,Eng
”,Punct
musicians—esos,Eng
Musicians,Eng
of,Eng
Brementown,NamedEnt
:,Punct
todos,Spn
off-key,Eng
",Punct
mal,Spn
vestidos,Spn
y,Spn
hasta,Spn
inhabiting,Eng
an,Eng
ill-concealed,Eng
",Punct
unsavory,Eng
bordering-on-incestuous,Eng
relationship,Eng
",Punct
la,Spn
madre-hijo,Spn
team,Eng
on,Eng
the,Eng
piano,Spn
",Punct
te,Spn
acuerdas,Spn
?,Punct
—,Punct
en,Spn
ese,Spn
unforgettable,Eng
Sofía,NamedEnt
Noel,NamedEnt
concert,Eng
en,Spn
Madrid,NamedEnt
en,Spn
1979,Spn
Yeah,NamedEnt
",Punct
fuimos,Spn
con,Spn
Selma,NamedEnt
.,Punct
En,Spn
el,Spn
Centro,Spn
Cultural,Eng
de,Spn
la,Spn
Villa,NamedEnt
",Punct
en,Spn
Colón,NamedEnt
.,Punct
O,Spn
te,Spn
veo,Spn
casi,Spn
llorando,Spn
",Punct
crooning,Eng
along,Eng
with,Eng
James,NamedEnt
Taylor’s,NamedEnt
first,Eng
album,Eng
:,Punct
“,Punct
Suzanne,NamedEnt
",Punct
the,Eng
plans,Eng
you,Eng
made,Eng
",Punct
put,Eng
an,Eng
end,Eng
to,Eng
you,Eng
.,Punct
.,Punct
.,Punct
.,Punct
”,Punct
Intento,Spn
recordar,Spn
tu,Spn
legendario,Spn
temper,Eng
",Punct
and,Eng
instead,Eng
te,Spn
veo,Spn
sneaking,Eng
me,Spn
",Punct
at,Eng
age,Eng
12,Spn
",Punct
into,Eng
the,Eng
drive-in,Eng
para,Spn
ver,Spn
“,Punct
Midnight,Eng
Cowboy,Eng
”,Punct
on,Eng
a,Spn
re-run,Spn
.,Punct
What,Eng
is,Eng
it,Eng
about,Eng
memory,Eng
?,Punct
¿Qué,Spn
es,Spn
lo,Spn
que,Spn
hace,Spn
que,Spn
Laura,NamedEnt
te,Spn
recuerde,Spn
tan,Spn
(,Punct
auto,Spn
),Punct
exigente,Spn
",Punct
tan,Spn
distante,Spn
?,Punct
Y,Spn
que,Spn
yo,Spn
",Punct
en,Spn
cambio,Spn
",Punct
vea,Spn
una,Spn
jumble,Eng
de,Spn
imágenes,Spn
solapadas,Spn
en,Spn
el,Spn
tiempo,Spn
y,Spn
el,Spn
espacio,Spn
",Punct
pero,Spn
en,Spn
casi,Spn
todas—even,Spn
when,Eng
that,Eng
little,Eng
muscle,Eng
at,Eng
the,Eng
side,Eng
of,Eng
your,Eng
jaw,Spn
is,Eng
twitching—casi,Eng
siempre,Spn
you,Eng
end,Eng
up,Eng
collapsing,Eng
into,Eng
a,Spn
snort,Eng
of,Eng
laughter,Eng
?,Punct
Qué,Spn
es,Spn
lo,Spn
que,Spn
me,Spn
permite,Spn
(,Punct
me,Spn
obliga,Spn
),Punct
creer,Spn
fervientemente,Spn
que,Spn
esa,Spn
crueldad,Spn
tuya,Spn
was,Eng
a,Spn
self-defense,Eng
mechanism,Eng
?,Punct
El,Spn
modo,Spn
de,Spn
resguardarse,Spn
",Punct
de,Spn
escudarse,Spn
de,Spn
un,Spn
hombre,Spn
",Punct
de,Spn
un,Spn
working-class,Eng
",Punct
Bronx,NamedEnt
Jew-boy,Eng
who,Eng
grew,Eng
up,Eng
to,Eng
be,Eng
famous,Eng
and,Eng
handsome,Eng
and,Eng
suave,Spn
and,Eng
world-traveled,Eng
and,Eng
elegant,Spn
(,Punct
and,Eng
who,Eng
even,Eng
taught,Eng
me,Spn
to,Eng
waltz,Eng
),Punct
pero,Spn
who,Eng
never,Eng
outgrew,Eng
laMEMORY/,Spn
inseguridad,Spn
de,Spn
haber,Spn
sido,Spn
short,Eng
",Punct
miope,Spn
",Punct
poor,Eng
",Punct
hijo,Spn
de,Spn
una,Spn
inmigrante,Spn
rusa,Spn
judía,Spn
y,Spn
de,Spn
un,Spn
inmigrante,Spn
rumano,Spn
judío,Spn
under(and,Eng
later,Eng
directamente,Spn
),Punct
unemployed,Eng
",Punct
y,Spn
encima,Spn
divorciados,Spn
.,Punct
Ese,Spn
Yossie,NamedEnt
",Punct
the,Eng
smallest,Eng
boy,Eng
en,Spn
la,Spn
Bronx,NamedEnt
ganga,NamedEnt
",Punct
the,Eng
one,Eng
they,Eng
used,Eng
as,Eng
mensajero,Spn
because,Eng
he,Eng
was,Eng
the,Eng
littlest,Eng
",Punct
el,Spn
que,Spn
corría,Spn
más,Spn
rápido,Spn
cuz,Spn
he,Eng
was,Eng
the,Eng
scaredest,Eng
.,Punct
Ese,Spn
boy,Eng
was,Eng
always,Eng
inside,Eng
you,Eng
",Punct
Dad,NamedEnt
.,Punct
Yossie,NamedEnt
.,Punct
You,Eng
never,Eng
outgrew,Eng
him,Eng
.,Punct
You,Eng
never,Eng
outran,Eng
him,Eng
del,Spn
todo,Spn
.,Punct
El,Spn
hizo,Spn
que,Spn
practically,Eng
on,Eng
your,Eng
deathbed,Eng
me,Spn
insistieras,Spn
",Punct
me,Spn
recordaras,Spn
",Punct
“,Punct
Sukie,NamedEnt
",Punct
you,Eng
know,Eng
",Punct
remember,Eng
:,Punct
tengo,Spn
over,Eng
300,Spn
items,Eng
on,Eng
my,Eng
C.V.,NamedEnt
”,Punct
I,Eng
know,Eng
you,Eng
did,Eng
",Punct
Daddy,Eng
.,Punct
Y,Spn
ese,Spn
knowledge,Eng
pierced,Eng
me,Spn
",Punct
wounded,Eng
me,Spn
",Punct
fucked,Eng
me,Spn
up,Eng
for,Eng
years,Eng
",Punct
even,Eng
warpedme,Eng
",Punct
diría,Spn
.,Punct
Cursed,Spn
me,Spn
con,Spn
la,Spn
misma,Spn
jodida,Spn
inseguridad,Spn
and,Eng
need,Eng
for,Eng
approval,Eng
from,Eng
others,Eng
you,Eng
took,Eng
with,Eng
you,Eng
to,Eng
your,Eng
grave,Spn
.,Punct
Yo,Spn
he,Eng
aprendido,Spn
a,Spn
echarle,Spn
la,Spn
culpa,Spn
al,Spn
Saturn,NamedEnt
in,Eng
the,Eng
twelfth,Eng
House,NamedEnt
",Punct
Sun,Eng
in,Eng
Aries,Eng
",Punct
en,Spn
la,Spn
cuarta,Spn
.,Punct
Pero,Spn
it’s,Eng
you,Eng
",Punct
Daddy,Eng
.,Punct
I’m,Spn
always,Eng
looking,Eng
over,Eng
my,Eng
shoulder,Eng
pa,Spn
’,Punct
ver,Spn
dónde,Spn
estás,Spn
.,Punct
Are,Eng
you,Eng
watching,Eng
me,Spn
?,Punct
Do,Eng
you,Eng
like,Eng
what,Eng
you,Eng
see,Eng
?,Punct
Do,Eng
you,Eng
?,Punct
Ah,Spn
",Punct
why,Eng
did,Eng
I,Eng
ever,Eng
have,Eng
to,Eng
become,Eng
a,Spn
writer,Eng
?,Punct
Pero,Spn
so,Eng
much,Eng
of,Eng
you,Eng
in,Eng
me,Spn
",Punct
qué,Spn
más,Spn
podría,Spn
haber,Spn
hecho,Spn
?,Punct
What,Eng
else,Eng
could,Eng
I,Eng
ever,Eng
do,Eng
?,Punct
Is,Eng
it,Eng
a,Spn
Jewish,NamedEnt
thing,Eng
",Punct
esta,Spn
never-satisfaction,Eng
?,Punct
An,Eng
oldest,Eng
child,Eng
thing,Eng
?,Punct
¿Sólo,Spn
un,Spn
modo,Spn
de,Spn
ser,Spn
melancólico,Spn
",Punct
compartido,Spn
entrañablemente,Spn
?,Punct
Nunca,Spn
sabré,Spn
",Punct
and,Eng
I,Eng
can’t,Spn
ask,Eng
you,Eng
.,Punct
Pero,Spn
I,Eng
do,Eng
ask,Eng
you,Eng
",Punct
almost,Eng
every,Eng
day,Eng
.,Punct
Ay,Spn
Daddy,Eng
",Punct
por,Spn
qué,Spn
esta,Spn
mi,Spn
urgencia,Spn
de,Spn
ti,Spn
?,Punct
Quién,Spn
me,Spn
definiría,Spn
como,Spn
sick,Eng
",Punct
a,Spn
veces,Spn
(,Punct
me,Spn
),Punct
pregunto,Spn
